   0.01801,  63.62404,   0.93050
   0.01820,  63.62020,   0.92950
   0.01860,  63.60742,   0.93180
   0.01821,  63.65089,   0.93190
   0.01813,  63.63811,   0.92710
   0.01800,  63.63299,   0.92910
   0.01596,  63.68159,   0.93180
   0.01649,  63.66113,   0.93040
   0.01648,  63.68159,   0.92970
   0.01542,  63.68414,   0.93090
   0.01485,  63.69310,   0.93270
   0.01517,  63.69181,   0.93080
   0.01458,  63.70077,   0.93080
   0.01444,  63.72251,   0.93140
   0.01475,  63.71355,   0.92920
   0.01624,  63.66624,   0.93320
   0.01502,  63.67263,   0.93310
   0.01458,  63.70716,   0.93190
   0.01322,  63.71355,   0.93150
   0.01472,  63.68670,   0.93070
   0.01116,  63.75831,   0.93640
   0.00892,  63.81969,   0.93390
   0.00926,  63.82481,   0.93570
   0.00883,  63.81458,   0.93430
   0.00900,  63.81202,   0.93350
   0.00848,  63.82737,   0.93340
   0.00799,  63.83632,   0.93400
   0.00871,  63.80946,   0.93440
   0.00756,  63.85038,   0.93540
   0.00727,  63.84911,   0.93560
   0.00699,  63.85038,   0.93520
   0.00714,  63.85166,   0.93420
   0.00662,  63.85294,   0.93470
   0.00710,  63.85294,   0.93520
   0.00679,  63.85422,   0.93420
   0.00667,  63.86189,   0.93390
   0.00720,  63.84655,   0.93360
   0.00731,  63.84399,   0.93390
   0.00646,  63.86445,   0.93250
   0.00736,  63.82864,   0.93380
   0.00711,  63.84143,   0.93300
   0.00683,  63.85806,   0.93400
   0.00721,  63.85166,   0.93310
   0.00561,  63.88491,   0.93480
   0.00668,  63.85806,   0.93290
   0.00660,  63.86317,   0.93420
   0.00603,  63.87724,   0.93290
   0.00624,  63.86956,   0.93280
   0.00626,  63.86701,   0.93430
   0.00634,  63.85422,   0.93530
   0.00577,  63.87085,   0.93310
   0.00617,  63.87468,   0.93180
   0.00641,  63.86189,   0.93340
   0.00610,  63.87212,   0.93290
   0.00659,  63.85294,   0.93640
   0.00649,  63.86573,   0.93150
   0.00629,  63.85294,   0.93280
   0.00578,  63.87340,   0.93460
   0.00581,  63.87340,   0.93470
   0.00598,  63.87852,   0.93280
   0.00567,  63.87340,   0.93340
   0.00493,  63.88363,   0.93360
   0.00511,  63.88747,   0.93390
   0.00516,  63.87852,   0.93620
   0.00464,  63.88875,   0.93530
   0.00449,  63.89770,   0.93420
   0.00488,  63.88235,   0.93520
   0.00491,  63.88619,   0.93570
   0.00474,  63.89642,   0.93670
   0.00431,  63.89898,   0.93530
   0.00401,  63.90921,   0.93600
   0.00443,  63.89258,   0.93590
   0.00454,  63.89770,   0.93490
   0.00456,  63.89003,   0.93600
   0.00424,  63.90154,   0.93620
   0.00430,  63.89003,   0.93560
   0.00460,  63.89258,   0.93630
   0.00427,  63.90793,   0.93680
   0.00417,  63.90154,   0.93510
   0.00416,  63.90409,   0.93550
   0.00429,  63.89898,   0.93390
   0.00466,  63.89386,   0.93480
   0.00393,  63.90921,   0.93520
   0.00384,  63.90665,   0.93680
